NNprd;NNtime;KRprd;KRtime
0.041695536987976345;0.13152285984584264;0.048388017118402266;0.2251594638824463
0.03071332950851023;0.10032279150826591;0.042489959839357425;0.22692468166351318
0.016946064139941687;0.10517445291791644;0.045229591836734674;0.2328609371185303
0.041609657947686104;0.13353317124503;0.0599154929577465;0.24581690311431884
0.011598302687411601;0.08738275936671666;0.028967468175388963;0.2415897274017334
0.01788170563961486;0.12384927613394602;0.037359009628610725;0.24575139999389647
0.0334126984126984;0.10121750150408064;0.041305555555555554;0.23399240493774415
0.0179421768707483;0.09811769212995257;0.04;0.2543215799331665
0.050123316258774406;0.11958891323634556;0.0630544488711819;0.24036431789398194
0.027400177462289264;0.0947415828704834;0.04680745341614907;0.21853821277618407
0.05882352941176471;0.09886884008135115;0.057673202614379096;0.23117833614349365
0.0181681115718055;0.11776960236685617;0.03345646437994723;0.23568861484527587
0.049419767907162855;0.1668989794594901;0.04949579831932772;0.2582068300247192
0.010362305237469494;0.14874330929347446;0.04709592641261497;0.25209349632263184
0.02280366692131397;0.0914679867880685;0.045133689839572194;0.25494500160217287
0.03691813804173356;0.11904156548636301;0.040424469413233466;0.23490757942199708
0.03721106479727169;0.12736660412379675;0.043236074270557034;0.24639857292175293
0.02091456930166608;0.11893310546875;0.047741935483870984;0.23646415233612061
0.04088748019017433;0.07339876038687569;0.05236133122028526;0.2501096868515015
0.03774680603948896;0.13621441296168735;0.03897018970189702;0.2284732913970947
